index, codes
0,KR7037460003
1,KR7036620003
2,KR7322130006
3,KR7048530000
4,KR7038870002
5,KR7012860003
6,KR7011210002
7,KR7096610001
8,KR7285690004
9,KR7200040004
10,KR7000700005
11,KR7115530008
12,KR7132030008
13,KR7291610004
14,KR7095300000
15,KR7032820003
16,KR7036260008
17,KR7141020008
18,KR7092130004
19,KR7272560004
20,KR7066570003
21,KR7278620000
22,KR7112610001
23,KR7014911002
24,KR7290720002
25,KR7033290008
26,KR7302200001
27,KR7123310005
28,KR7004490009
29,KR7003850005
30,KR7084690007
31,KR7103130001
32,KR7015360001
33,KR7323280008
34,KR7023960008
35,KR7057050007
36,KR7261140008
37,KR7101680007
38,KR7171010002
39,KR7332710003
40,KR7034590000
41,KR7013570007
42,KR7204270003
43,KR7170030001
44,KR7301440004
45,KR7089230007
46,KR7007770001
47,KR7091580001
48,KR7035420009
49,KR7009140005
50,KR7317770006
51,KR7066970005
52,KR7025000001
53,KR7049550007
54,KR7010280006
55,KR7070590005
56,KR7044060002
57,KR7104520002
58,KR7013890009
59,KR7099660003
60,KR7054920004
61,KR7290740000
62,KR7105740005
63,KR7035900000
64,KR7005301007
65,KR7126880004
66,KR7260200001
67,KR7108320003
68,KR7272290008
69,KR7038290003
70,KR7136490000
71,KR7034120006
72,KR7034300004
73,KR7101170009
74,KR7077280006
75,KR7023440001
76,KR7018260000
77,KR7130730005
78,KR7211210000
79,KR7057680001
80,KR7080580004
81,KR7090370008
82,KR7084730001
83,KR7060720000
84,KR7033130006
85,KR7000910000
86,KR7007571003
87,KR7128820008
88,KR7007590003
89,KR7098660004
90,KR7292150000
91,KR7322780008
92,KR7092200005
93,KR7043610005
94,KR7001751007
95,KR7148140007
96,KR7000300004
97,KR7020150009
98,KR7023530009
99,KR7000950006
100,KR7002030005
101,KR7065130007
102,KR7001440007
103,KR7215200007
104,KR7094480001
105,KR7044180008
106,KR7287320006
107,KR7048470009
108,KR7037330008
109,KR7126640002
110,KR7001420009
111,KR7021650007
112,KR7092730001
113,KR7006280002
114,KR7091220004
115,KR7036570000
116,KR7001230002
117,KR7073110009
118,KR7109860007
119,KR7037710001
120,KR7032850000
121,KR7175250000
122,KR7252720008
123,KR7215620006
124,KR7080470008
125,KR7048410005
126,KR7044380004
127,KR7290130004
128,KR7142210004
129,KR7002350007
130,KR7009780008
131,KR7272910001
132,KR7105010003
133,KR7001200005
134,KR7038950002
135,KR7183710003
136,KR7069620003
137,KR7010950004
138,KR7010960003
139,KR7055550008
140,KR7079950002
141,KR7138250006
142,KR7342500006
143,KR7006650006
144,KR7089470009
145,KR7016600009
146,KR7047820006
147,KR7008290009
148,KR7261110001
149,KR7203450002
150,KR7000640003
151,KR7041520008
152,KR7097780001
153,KR7005300009
154,KR7094800000
155,KR7052770005
156,KR7009831009
157,KR7283930006
158,KR7159580000
159,KR7074610007
160,KR7004650008
161,KR7295000004
162,KR7038340006
163,KR7004981007
164,KR7308170000
165,KR7035250000
166,KR7239340003
167,KR7038010005
168,KR7054450002
169,KR7050860006
170,KR7025770009
171,KR7330990003
172,KR7046970000
173,KR7138920004
174,KR7065680001
175,KR7000150003
176,KR7042660001
177,KR7289670002
178,KR7067830000
179,KR7066590001
180,KR7307510008
181,KR7043580000
182,KR7307620005
183,KR7183700004
184,KR7196220008
185,KR7005380001
186,KR7064290000
187,KR7153270004
188,KR7272230004
189,KR7237690003
190,KR7012750006
191,KR7090470006
192,KR7187270004
193,KR7267850006
194,KR7285130001
195,KR7030960009
196,KR7041020009
197,KR7011790003
198,KR7168300002
199,KR7010420008
200,KR7045890001
201,KR7042670000
202,KR7101930006
203,KR7119830008
204,KR7253450001
205,KR7045300001
206,KR7337120000
207,KR7099190001
208,KR7008500001
209,KR7000520007
210,KR7173940008
211,KR7219960002
212,KR7248270001
213,KR7033560004
214,KR7138080007
215,KR7030200000
216,KR7000500009
217,KR7235980000
218,KR7002380004
219,KR7011690005
220,KR7281990002
221,KR7332940006
222,KR7253160006
223,KR7161490008
224,KR7215360009
225,KR7001800002
226,KR7005500004
227,KR7001680008
228,KR7102120003
229,KR7001721000
230,KR7179900006
231,KR7120030002
232,KR7063080006
233,KR7204620009
234,KR7032960007
235,KR7002990000
236,KR7266420009
237,KR7145850004
238,KR7039020003
239,KR7080420003
240,KR7011700002
241,KR7285490009
242,KR7102280005
243,KR7083660001
244,KR7003830007
245,KR7007720006
246,KR7291210003
247,KR7313760001
248,KR7092440007
249,KR7037440005
250,KR7138530001
251,KR7006620009
252,KR7126600006
253,KR7095720009
254,KR7072770001
255,KR7018000000
256,KR7239610009
257,KR7005010004
258,KR7025540006
259,KR7237750005
260,KR7089010003
261,KR7071320006
262,KR7215000001
263,KR7022100002
264,KR7006121008
265,KR7052860004
266,KR7205100001
267,KR7001560002
268,KR7049770001
269,KR7005252002
270,KR7017650003
271,KR7075970004
272,KR7323210005
273,KR7036830008
274,KR7065940009
275,KR7334690005
276,KR7138490008
277,KR7237820006
278,KR7332290006
279,KR7060570009
280,KR7013580006
281,KR7007210008
282,KR7086960002
283,KR7307750000
284,KR7287310007
285,KR7042600007
286,KR7215480005
287,KR7000881003
288,KR7032800005
289,KR7052330008
290,KR7117680009
291,KR7006400006
292,KR7037760006
293,KR7004980009
